,title,published,view_count,like_count,dislike_count,comment_count,title_length,reactions
203,I Put 10 Million Legos in Friend's House,2019-01-18T22:04:59Z,102416980,1633158,0,63606,40,1696764
204,Make This Video The Most Liked Video On Youtube,2019-01-16T22:05:01Z,149482526,29976818,0,315514,47,30292332
205,"20,000 Magnets Vs A Car",2019-01-14T22:05:00Z,33997426,773535,0,24278,23,797813
206,"Eating A $10,000 Golden Steak (24k Gold)",2019-01-11T22:05:00Z,148518630,2361948,0,91533,40,2453481
207,Last To Take Hand Off House Keeps It!,2019-01-08T21:05:00Z,88252222,1604772,0,45001,37,1649773
208,"I Gave Him One Hour To Spend $100,000!",2019-01-01T21:05:01Z,78172889,1579681,0,69530,38,1649211
209,"How I Gave Away $1,000,000",2018-12-25T21:05:01Z,14471794,492368,0,34518,26,526886
210,"Giving $100,000 To A Homeless Person",2018-12-23T21:00:01Z,31321989,1031215,0,71982,36,1103197
211,I Spent 24 Hours Straight In Prison - Challenge,2018-12-19T21:05:02Z,115806649,2099348,0,75855,47,2175203
212,Donating $10000 To Pewdiepie,2018-12-16T21:05:02Z,47075154,1740605,0,50612,28,1791217
213,"Last Youtuber To Leave Wins $100,000 - Challenge",2018-12-12T21:00:02Z,101747618,2131936,0,97343,48,2229279
214,I Put Millions Of Pennies In My Friends Backyard,2018-12-08T21:05:02Z,157248792,2578915,0,64042,48,2642957
215,Surprising TFue With A Fortnite Battle Bus In Real Life,2018-12-07T22:11:00Z,101443140,1895365,0,64416,55,1959781
216,I Built A Giant House Using Only Legos,2018-12-02T20:05:01Z,64476390,1046135,0,50167,38,1096302
217,"Last To Leave Slime Pit Wins $20,000 - Challenge",2018-11-30T21:11:01Z,136483909,2305435,0,73264,48,2378699
218,"Saying Pewdiepie 100,000 Times",2018-11-25T21:07:01Z,25887697,1685510,0,171891,30,1857401
219,Destroyed Friend's House And Bought Him A New One,2018-11-24T21:06:01Z,43407366,1135498,0,69579,49,1205077
220,I Put 100 Million Orbeez In My Friend's Backyard,2018-11-22T21:08:01Z,210592956,4960635,0,138751,48,5099386
221,"Spending $40,000 In One Hour Challenge",2018-11-17T21:06:02Z,44373896,934946,0,55815,38,990761
222,"Giving My 10,000,000th Subscriber 10,000,000 ___",2018-11-13T21:05:04Z,29336062,810317,0,33021,48,843338
223,"$10,000 Games Of Rock Paper Scissors",2018-11-04T21:05:02Z,18480144,516067,0,25662,36,541729
224,"Last To Remove Hand, Gets Lamborghini Challenge",2018-11-02T20:05:01Z,91983973,1671428,0,75135,47,1746563
225,"You Pick The Right Cup, You Win $100,000!",2018-10-28T20:06:01Z,36152104,982597,0,36258,41,1018855
226,I Bought Every Billboard In My City For This,2018-10-26T21:06:02Z,38666937,1329295,0,109281,44,1438576
227,"Ordering Water Then Tipping $30,000",2018-10-23T20:11:02Z,43980956,1173718,0,47346,35,1221064
228,"I Spent $50,000 On Lottery Tickets And Won ____",2018-10-19T21:05:02Z,31162560,750517,0,34162,47,784679
229,"Last To Leave Circle Wins $10,000 - Challenge",2018-10-12T22:05:04Z,93058341,1610370,0,60120,45,1670490
230,I Spent 24 Hours Straight In Slime,2018-10-09T20:05:02Z,42816140,934927,0,34183,34,969110
231,"Surprising Tfue With $10,000 Live - Fortnite",2018-10-04T20:07:01Z,73463537,1533919,0,48055,44,1581974
232,"I Spent $30,000 On Lottery Tickets And Won ____",2018-09-28T21:05:00Z,17192876,426649,0,22617,47,449266
233,Flat Earth PROVEN By Independent Research,2018-09-22T20:05:01Z,28342676,801489,0,138734,41,940223
234,Things That SHOULDN'T Be Sold On Amazon,2018-09-21T22:06:01Z,147160298,2272122,0,56462,39,2328584
235,"Surprising My 8,000,000th Subscriber With 8,000,000 ___",2018-09-19T20:05:01Z,36400683,574387,0,18912,55,593299
236,"I Donated $25,000 To Random Kids Streaming Fortnite",2018-09-14T20:09:01Z,64077734,1311031,0,40273,51,1351304
237,I Hope This Magic Trick Works,2018-09-11T21:13:59Z,43287315,725607,0,19446,29,745053
238,Can A Glowing 1000 Degree Sword Slice A Car In Half?,2018-09-06T21:09:00Z,69605967,1151056,0,38898,52,1189954
239,Rocket League In Real Life!,2018-09-01T21:08:58Z,28604953,547316,0,16708,27,564024
240,Destroying My Friend's Car And Surprising Him With A New One - Slime,2018-08-28T22:08:59Z,115141640,2436874,0,68000,68,2504874
241,Spending 24 Hours Straight Under Water Challenge,2018-08-24T22:09:00Z,139912560,3502555,0,108750,48,3611305
